compound_name,inchikey,source_dataset,target_rt_min,candidate_runtime_min,candidate_ph,candidate_flow_ml_min,candidate_temperature_c,column_name,mobile_phase_system,predicted_rt_min,rt_fit_score,predicted_quality_score,confidence_score,ad_penalty,constraint_violation_count,suitable,label_source,runtime_penalty
Warfarin,PJVWKTKQMONHTI-UHFFFAOYSA-N,internal_lab,5.95,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,8.575,0.5588235294117647,0.63,0.55,0.2,2,0,synthetic_proxy,0.7333333333333334
Labetalol,SGUAFYQXFOLMHL-UHFFFAOYSA-N,internal_lab,3.6,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,3.6,1.0,0.73,0.85,0.0,0,1,synthetic_proxy,0.7333333333333334
Labetalol,SGUAFYQXFOLMHL-UHFFFAOYSA-N,internal_lab,3.6,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,5.475,0.47916666666666663,0.48,0.55,0.2,1,0,synthetic_proxy,0.7333333333333334
Labetalol,SGUAFYQXFOLMHL-UHFFFAOYSA-N,internal_lab,3.6,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,6.225,0.27083333333333337,0.48,0.55,0.2,2,0,synthetic_proxy,0.7333333333333334
Ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N,METLIN_SMRT,4.3,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,4.3,1.0,0.86,0.85,0.0,0,1,synthetic_proxy,0.48333333333333334
Ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N,METLIN_SMRT,4.3,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,6.175,0.563953488372093,0.61,0.55,0.2,1,0,synthetic_proxy,0.48333333333333334
Ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N,METLIN_SMRT,4.3,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,6.925,0.38953488372093026,0.61,0.55,0.2,2,0,synthetic_proxy,0.48333333333333334
Diclofenac,DCOPUUMXTXDBNB-UHFFFAOYSA-N,RepoRT,4.85,6.0,7.0,0.45,35.0,BEH C18 50x2.1 mm 1.7um,acn_ammonium,4.85,1.0,0.79,0.85,0.0,0,1,synthetic_proxy,0.5
Diclofenac,DCOPUUMXTXDBNB-UHFFFAOYSA-N,RepoRT,4.85,6.0,7.0,0.45,35.0,BEH C18 50x2.1 mm 1.7um,acn_ammonium,6.725,0.6134020618556701,0.54,0.55,0.2,1,0,synthetic_proxy,0.5
Diclofenac,DCOPUUMXTXDBNB-UHFFFAOYSA-N,RepoRT,4.85,6.0,7.0,0.45,35.0,BEH C18 50x2.1 mm 1.7um,acn_ammonium,7.475,0.45876288659793807,0.54,0.55,0.2,2,0,synthetic_proxy,0.5
Ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N,RepoRT,4.1,6.0,7.0,0.45,35.0,BEH C18 50x2.1 mm 1.7um,acn_ammonium,4.1,1.0,0.82,0.85,0.0,0,1,synthetic_proxy,0.5
Ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N,RepoRT,4.1,6.0,7.0,0.45,35.0,BEH C18 50x2.1 mm 1.7um,acn_ammonium,5.975,0.5426829268292683,0.57,0.55,0.2,1,0,synthetic_proxy,0.5
Ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N,RepoRT,4.1,6.0,7.0,0.45,35.0,BEH C18 50x2.1 mm 1.7um,acn_ammonium,6.725,0.3597560975609756,0.57,0.55,0.2,2,0,synthetic_proxy,0.5
Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,RepoRT,2.05,7.0,3.2,0.4,35.0,HILIC Amide 100x2.1 mm 2.6um,acn_formic_acid,2.05,1.0,0.82,0.85,0.0,0,1,synthetic_proxy,0.5833333333333334
Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,RepoRT,2.05,7.0,3.2,0.4,35.0,HILIC Amide 100x2.1 mm 2.6um,acn_formic_acid,3.925,0.08536585365853655,0.57,0.55,0.2,1,0,synthetic_proxy,0.5833333333333334
Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,RepoRT,2.05,7.0,3.2,0.4,35.0,HILIC Amide 100x2.1 mm 2.6um,acn_formic_acid,4.675,0.0,0.57,0.55,0.2,2,0,synthetic_proxy,0.5833333333333334
Atenolol,METKIMKYRPQLGS-UHFFFAOYSA-N,RepoRT,3.2,7.0,3.2,0.4,35.0,HILIC Amide 100x2.1 mm 2.6um,acn_formic_acid,3.2,1.0,0.68,0.85,0.0,0,1,synthetic_proxy,0.5833333333333334
Atenolol,METKIMKYRPQLGS-UHFFFAOYSA-N,RepoRT,3.2,7.0,3.2,0.4,35.0,HILIC Amide 100x2.1 mm 2.6um,acn_formic_acid,5.075,0.4140625,0.43000000000000005,0.55,0.2,1,0,synthetic_proxy,0.5833333333333334
Atenolol,METKIMKYRPQLGS-UHFFFAOYSA-N,RepoRT,3.2,7.0,3.2,0.4,35.0,HILIC Amide 100x2.1 mm 2.6um,acn_formic_acid,5.825,0.1796875,0.43000000000000005,0.55,0.2,2,0,synthetic_proxy,0.5833333333333334
Atorvastatin,CEOZEVPKWPTMFW-NSOVKSMOSA-N,METLIN_SMRT,7.25,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,7.25,1.0,0.74,0.85,0.0,0,1,synthetic_proxy,0.7333333333333334
Atorvastatin,CEOZEVPKWPTMFW-NSOVKSMOSA-N,METLIN_SMRT,7.25,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,9.125,0.7413793103448276,0.49,0.55,0.2,1,0,synthetic_proxy,0.7333333333333334
Atorvastatin,CEOZEVPKWPTMFW-NSOVKSMOSA-N,METLIN_SMRT,7.25,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,9.875,0.6379310344827587,0.49,0.55,0.2,2,0,synthetic_proxy,0.7333333333333334
Metoprolol,IUBSYMUCCVWXPE-UHFFFAOYSA-N,RepoRT,2.45,6.0,7.0,0.45,35.0,BEH C18 50x2.1 mm 1.7um,acn_ammonium,2.45,1.0,0.8,0.85,0.0,0,1,synthetic_proxy,0.5
Metoprolol,IUBSYMUCCVWXPE-UHFFFAOYSA-N,RepoRT,2.45,6.0,7.0,0.45,35.0,BEH C18 50x2.1 mm 1.7um,acn_ammonium,4.325,0.23469387755102045,0.55,0.55,0.2,1,0,synthetic_proxy,0.5
Metoprolol,IUBSYMUCCVWXPE-UHFFFAOYSA-N,RepoRT,2.45,6.0,7.0,0.45,35.0,BEH C18 50x2.1 mm 1.7um,acn_ammonium,5.075,0.0,0.55,0.55,0.2,2,0,synthetic_proxy,0.5
ReTiNA:enaminert:2:0,UAGHVUFWYGCQEI-UHFFFAOYSA-N,ReTiNA:enaminert,0.2301,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.2301,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:0,UAGHVUFWYGCQEI-UHFFFAOYSA-N,ReTiNA:enaminert,0.2301,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.1051,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:0,UAGHVUFWYGCQEI-UHFFFAOYSA-N,ReTiNA:enaminert,0.2301,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.8551,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:1,DDZICWGANHXVJP-UHFFFAOYSA-N,ReTiNA:enaminert,0.1476,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.1476,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:1,DDZICWGANHXVJP-UHFFFAOYSA-N,ReTiNA:enaminert,0.1476,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.0226,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:1,DDZICWGANHXVJP-UHFFFAOYSA-N,ReTiNA:enaminert,0.1476,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.7726,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:2,ASQKLYZJQVNYNU-UHFFFAOYSA-N,ReTiNA:enaminert,0.5789000000000001,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.5789000000000001,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:2,ASQKLYZJQVNYNU-UHFFFAOYSA-N,ReTiNA:enaminert,0.5789000000000001,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.4539,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:2,ASQKLYZJQVNYNU-UHFFFAOYSA-N,ReTiNA:enaminert,0.5789000000000001,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.2039,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:3,ADSRKUSKBYHEEQ-UHFFFAOYSA-N,ReTiNA:enaminert,1.5563,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,1.5563,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:3,ADSRKUSKBYHEEQ-UHFFFAOYSA-N,ReTiNA:enaminert,1.5563,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.4313000000000002,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:3,ADSRKUSKBYHEEQ-UHFFFAOYSA-N,ReTiNA:enaminert,1.5563,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,4.1813,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:4,JXFXNAGHDQKVPH-UHFFFAOYSA-N,ReTiNA:enaminert,1.2786,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,1.2786,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:4,JXFXNAGHDQKVPH-UHFFFAOYSA-N,ReTiNA:enaminert,1.2786,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.1536,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:4,JXFXNAGHDQKVPH-UHFFFAOYSA-N,ReTiNA:enaminert,1.2786,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.9036,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:5,ZMYNSDPLVPFVRD-UHFFFAOYSA-N,ReTiNA:enaminert,0.1639,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.1639,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:5,ZMYNSDPLVPFVRD-UHFFFAOYSA-N,ReTiNA:enaminert,0.1639,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.0389,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:5,ZMYNSDPLVPFVRD-UHFFFAOYSA-N,ReTiNA:enaminert,0.1639,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.7889,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:6,RVAGSWUTOZRLGU-UHFFFAOYSA-N,ReTiNA:enaminert,0.2512,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.2512,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:6,RVAGSWUTOZRLGU-UHFFFAOYSA-N,ReTiNA:enaminert,0.2512,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.1262,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:6,RVAGSWUTOZRLGU-UHFFFAOYSA-N,ReTiNA:enaminert,0.2512,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.8762,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:7,CIZVQFQBXGEKCV-UHFFFAOYSA-N,ReTiNA:enaminert,0.3476999999999999,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.3476999999999999,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:7,CIZVQFQBXGEKCV-UHFFFAOYSA-N,ReTiNA:enaminert,0.3476999999999999,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.2226999999999997,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:7,CIZVQFQBXGEKCV-UHFFFAOYSA-N,ReTiNA:enaminert,0.3476999999999999,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.9726999999999997,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:8,CWWKKQPUZNLBJO-UHFFFAOYSA-N,ReTiNA:enaminert,0.4266,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.4266,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:8,CWWKKQPUZNLBJO-UHFFFAOYSA-N,ReTiNA:enaminert,0.4266,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.3016,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:8,CWWKKQPUZNLBJO-UHFFFAOYSA-N,ReTiNA:enaminert,0.4266,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.0516,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:9,VHVFVXOVDCNDRS-UHFFFAOYSA-N,ReTiNA:enaminert,0.6627,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.6627,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:9,VHVFVXOVDCNDRS-UHFFFAOYSA-N,ReTiNA:enaminert,0.6627,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.5377,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:9,VHVFVXOVDCNDRS-UHFFFAOYSA-N,ReTiNA:enaminert,0.6627,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.2877,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:10,AJUBXZMPPGYCRZ-UHFFFAOYSA-N,ReTiNA:enaminert,0.9534,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.9534,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:10,AJUBXZMPPGYCRZ-UHFFFAOYSA-N,ReTiNA:enaminert,0.9534,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.8284000000000002,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:10,AJUBXZMPPGYCRZ-UHFFFAOYSA-N,ReTiNA:enaminert,0.9534,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.5784000000000002,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:11,YSTDQULWHBWQAS-UHFFFAOYSA-N,ReTiNA:enaminert,0.1718,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.1718,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:11,YSTDQULWHBWQAS-UHFFFAOYSA-N,ReTiNA:enaminert,0.1718,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.0468,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:11,YSTDQULWHBWQAS-UHFFFAOYSA-N,ReTiNA:enaminert,0.1718,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.7968,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:12,AWYKAVOVCORZHA-UHFFFAOYSA-N,ReTiNA:enaminert,1.1207,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,1.1207,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:12,AWYKAVOVCORZHA-UHFFFAOYSA-N,ReTiNA:enaminert,1.1207,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.9957000000000003,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:12,AWYKAVOVCORZHA-UHFFFAOYSA-N,ReTiNA:enaminert,1.1207,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.7457000000000003,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:13,SJNUHWQAYVLMNO-UHFFFAOYSA-N,ReTiNA:enaminert,0.1848,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.1848,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:13,SJNUHWQAYVLMNO-UHFFFAOYSA-N,ReTiNA:enaminert,0.1848,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.0598,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:13,SJNUHWQAYVLMNO-UHFFFAOYSA-N,ReTiNA:enaminert,0.1848,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.8098,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:14,XFTBJTBPHVYVRC-UHFFFAOYSA-N,ReTiNA:enaminert,0.9626,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.9626,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:14,XFTBJTBPHVYVRC-UHFFFAOYSA-N,ReTiNA:enaminert,0.9626,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.8376,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:14,XFTBJTBPHVYVRC-UHFFFAOYSA-N,ReTiNA:enaminert,0.9626,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.5876,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:15,HRMHTTWDTAQSBJ-UHFFFAOYSA-N,ReTiNA:enaminert,1.2134,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,1.2134,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:15,HRMHTTWDTAQSBJ-UHFFFAOYSA-N,ReTiNA:enaminert,1.2134,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.0884,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:15,HRMHTTWDTAQSBJ-UHFFFAOYSA-N,ReTiNA:enaminert,1.2134,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.8384,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:16,AOBMRVQZGCYVAC-UHFFFAOYSA-N,ReTiNA:enaminert,1.334,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,1.334,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:16,AOBMRVQZGCYVAC-UHFFFAOYSA-N,ReTiNA:enaminert,1.334,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.209,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:16,AOBMRVQZGCYVAC-UHFFFAOYSA-N,ReTiNA:enaminert,1.334,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.959,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:17,ABQUSTMXIAZZQE-UHFFFAOYSA-N,ReTiNA:enaminert,0.7584,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.7584,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:17,ABQUSTMXIAZZQE-UHFFFAOYSA-N,ReTiNA:enaminert,0.7584,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.6334,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:17,ABQUSTMXIAZZQE-UHFFFAOYSA-N,ReTiNA:enaminert,0.7584,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,3.3834,0.0,0.30000000000000004,0.55,0.2,2,0,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:18,GUCOEKKQKHACCX-UHFFFAOYSA-N,ReTiNA:enaminert,0.9802,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,0.9802,1.0,0.55,0.85,0.0,0,1,synthetic_proxy,0.16666666666666666
ReTiNA:enaminert:2:18,GUCOEKKQKHACCX-UHFFFAOYSA-N,ReTiNA:enaminert,0.9802,2.0,7.0,3.0,30.0,"RP column 4.6 x 30 mm, 2.7 um",acn_formic_acid,2.8552,0.0,0.30000000000000004,0.55,0.2,1,0,synthetic_proxy,0.16666666666666666
